(-0.000192235,-2.29173e-05)
(-0.00220775,-0.000540751)
(-0.00357061,-0.00372398)
(0.0809755,0.00315877)
(0.136294,0.129499)
(0.0443289,0.23659)
(-0.134196,0.121871)
(-0.605652,0.100047)
(-1.0142,0.00124011)
(-1.10086,-0.0301688)
(-1.08264,0.108578)
(-1.02953,0.0353532)
(-0.97987,0.0468885)
(-1.01091,-0.26474)
(-0.779673,0.00115442)
(-0.278841,0.896768)
(-0.00860839,1.09678)
(-0.120318,0.970431)
(0.114234,1.09643)
(0.216685,1.02687)
(0.00551886,1.12952)
(-0.0385764,1.04313)
(-0.243001,0.690987)
(-0.937124,0.326268)
(-1.07608,-0.00836768)
(-0.904941,0.0445633)
(-0.946357,0.0565159)
(-0.986387,-0.0342308)
(-0.970886,-0.0989852)
(-1.01524,-0.111835)
(-0.930517,-0.209496)
(-0.188437,-0.871891)
(0.176591,-1.19232)
(0.00871774,-1.08036)
(0.0613028,-1.08866)
(-0.0279328,-1.13652)
(-0.0855708,-1.08859)
(0.0894425,-1.01936)
(0.260762,-0.96316)
(0.0569574,-0.957448)
(0.199963,-0.875955)
(0.181515,-0.859529)
(-0.0262614,-1.04174)
(-0.00201701,-0.977764)
(0.0944944,-0.73031)
(-0.020409,-0.964627)
(-0.0943842,-1.12655)
(-0.0757824,-0.844828)
(-0.154671,-1.05644)
(-0.15528,-1.03802)
(-0.0591102,-0.878908)
(0.182801,-0.996489)
(0.214469,-1.14785)
(0.310161,-1.04506)
(0.00248762,-0.749476)
(-0.880737,-0.057896)
(-1.21772,0.0878344)
(-1.02073,0.0690612)
(-0.955119,0.119)
(-0.83777,0.0678506)
(-0.728198,0.0545584)
(-1.12236,-0.0773427)
(-1.00798,0.167149)
(-0.294671,0.686277)
(0.299718,0.9069)
(0.1809,0.841077)
(-0.0678614,0.924252)
(-0.117472,1.01061)
(0.0496134,0.929071)
(-0.0052839,0.869044)
(-0.264357,0.615692)
(0.0120749,-0.360538)
(-0.0778501,-1.03559)
(-0.142136,-1.03339)
(-0.163122,-1.12279)
(-0.0902959,-1.13643)
(-0.134936,-1.20461)
(-0.13412,-1.16694)
(-0.208354,-0.838065)
(-0.798493,-0.279437)
(-1.17025,-0.0150216)
(-1.05607,-0.148178)
(-0.914847,-0.209)
(-0.839258,-0.308013)
(-0.958911,-0.351597)
(-1.10717,-0.245254)
(-1.15034,-0.0965102)
(-1.04722,-0.112038)
(-1.03383,-0.019532)
(-1.2044,0.0847481)
(-1.18478,-9.92525e-05)
(-1.19198,-0.127333)
