( 0.9309659,-0.1796665)
( 1.0248392,-0.1569957)
( 1.0218333, 0.0016516)
( 1.0329965,-0.0907600)
( 1.0113186, 0.0360630)
( 0.9312831, 0.2917865)
( 1.0643921,-0.0154883)
( 1.1023942,-0.0906472)
( 1.0781534, 0.0703306)
( 1.1006172, 0.0627473)
( 1.0015553, 0.2415899)
( 0.9549593, 0.0591890)
( 1.2668331, 0.0496167)
( 0.9687334, 0.0067083)
( 1.0140259,-0.1346316)
( 1.0667715, 0.1205051)
(-1.0745444, 0.0167122)
(-1.0138969, 0.0358083)
(-0.7815782,-0.1569734)
(-1.0569329,-0.1403127)
(-1.0477034,-0.0360058)
(-1.0602701, 0.0849599)
(-1.0886673,-0.0376162)
(-1.0323118, 0.0896944)
( 0.9311556, 0.0650477)
( 1.1031739,-0.0831380)
( 0.8224494,-0.0476272)
( 1.0207721, 0.0373577)
( 0.8316498,-0.0239427)
( 0.9952150,-0.0578493)
( 0.9103586, 0.0679813)
( 1.0596081, 0.0111778)
( 0.9956067, 0.0418598)
( 1.0030466,-0.0336146)
( 1.1328784,-0.1256248)
( 0.8031701,-0.0017905)
( 0.9567583,-0.0078913)
( 1.1808714,-0.0936655)
( 0.9909207, 0.1460750)
( 0.9686936,-0.0955765)
( 0.9893725, 0.0191787)
( 0.8677591,-0.0104316)
( 0.8775688, 0.1162515)
( 1.0809863, 0.1838484)
( 1.1524594,-0.0772931)
( 1.0393195,-0.0463195)
( 1.0113086,-0.2018580)
( 0.9743899, 0.0077044)
( 0.7839917, 0.0291522)
( 1.1288110,-0.1220404)
( 0.9298750,-0.0104464)
( 1.0828508,-0.1257258)
( 0.8281187,-0.0513697)
( 0.8935744,-0.0076473)
( 0.9886298,-0.0513764)
( 1.0940073,-0.0599492)
( 1.0252818, 0.0278319)
( 0.9765463, 0.1278988)
( 1.1178629,-0.0132716)
( 1.0953988, 0.0698775)
( 1.0809523, 0.1017042)
( 0.9800566,-0.0142664)
( 0.7734284, 0.1198402)
( 0.8926374, 0.1173640)
( 0.8998467, 0.1277862)
( 0.8014522,-0.1086793)
( 1.0718681, 0.1400012)
( 0.7836221,-0.0187182)
( 0.8751785, 0.2087391)
( 1.0025134,-0.0107146)
( 1.0327553,-0.0384073)
( 1.1759068, 0.0402204)
( 0.9720205, 0.1208091)
( 1.0955546,-0.2220297)
( 0.8577353,-0.0882662)
( 0.9276604,-0.1746021)
( 0.8472580, 0.2212899)
( 0.9251748,-0.0609562)
( 1.0346740, 0.1523756)
( 0.9570230,-0.0226628)
(-0.9636217,-0.0595338)
(-0.8984692,-0.0062261)
(-1.0782914, 0.0160200)
(-0.9761144, 0.1084855)
(-0.9256318, 0.0979695)
(-0.9608614,-0.1723415)
(-1.0453032, 0.0287873)
(-0.9856968,-0.0175924)
(-1.0405045,-0.0197318)
(-1.1005492,-0.1220208)
(-1.0523900, 0.0186105)
(-1.0128834,-0.0400076)
(-1.1740410,-0.2595187)
(-0.8878572,-0.0129749)
(-1.0570731,-0.0730670)
(-1.0985591, 0.0951359)
(-1.0452932,-0.0056352)
(-0.9883128, 0.3015290)
(-1.0455402, 0.1913071)
(-1.0080994, 0.2099098)
(-1.0178709,-0.0274964)
(-0.9806428, 0.0324064)
(-1.0001633,-0.0289781)
(-1.0153769,-0.1394405)
(-1.2591753,-0.0441966)
(-0.9906378, 0.0357119)
(-1.0152470,-0.0418686)
(-1.0655444, 0.0815026)
(-0.9619520, 0.0416070)
(-1.1321549, 0.0137448)
(-0.7598747, 0.0939368)
(-1.0534990,-0.1388273)
( 1.1011939, 0.1101591)
( 0.9833037, 0.1720111)
( 0.7944804,-0.0267617)
( 0.9187749,-0.0192034)
( 0.9994441,-0.1594575)
( 0.9674018,-0.0049850)
( 0.9731510, 0.0258876)
( 1.0960934,-0.0046597)
( 0.9905016,-0.0491845)
( 0.9891263,-0.1691669)
( 1.2334721,-0.0172556)
( 0.9239618, 0.0752328)
( 0.9587805,-0.1209065)
( 1.0237505, 0.0513332)
( 1.1303860, 0.0893672)
( 1.0584898,-0.0102909)
( 0.9668399, 0.0695497)
( 1.0845660,-0.2342739)
( 0.9957929, 0.0346282)
( 1.0718188, 0.0904940)
( 0.9893395,-0.0573880)
( 0.8243666, 0.0635923)
( 0.9524697, 0.0387372)
( 0.8436385, 0.0400818)
(-0.9773499, 0.0646477)
(-0.9976057,-0.2755305)
(-0.7380487, 0.1545500)
(-0.9997332, 0.0443899)
(-0.8514088, 0.0870598)
(-1.0098889, 0.0450045)
(-1.0829494, 0.1073099)
(-0.9598943, 0.1790538)
( 0.9487084, 0.2367608)
( 1.1604587, 0.0226237)
( 1.0398129, 0.0334330)
( 0.9269318, 0.0106860)
( 0.9152891,-0.0054295)
( 1.0899208,-0.1697399)
( 0.9668777,-0.0007168)
( 1.0923901, 0.1268694)
(-0.7700539, 0.0389393)
(-0.9268757, 0.1103185)
(-1.0629106, 0.1173398)
(-1.1065202,-0.1414753)
(-1.0211053,-0.0374390)
(-0.9911124, 0.0307810)
(-1.0511967,-0.0292163)
(-1.0177454, 0.0908397)
